logname,AI,shoot,TRUE,deleted,get,"get, horse","get, shield","get, coin_v_1","Name, get, horse","Name, get, shield","Name, get, coin_v_1","gen, horse","gen, shield",Remake,"Name, shoot","shoot, Name","Name, shoot, Name","Name, get",LevelTime
2022-03-01-16-58-46.log,11,37,1,2,19,0,0,18,0,0,0,1,1,0,0,0,0,0,13
2022-03-01-17-55-31.log,12,35,1,3,21,0,0,20,0,0,0,1,2,0,0,0,0,0,13
2022-03-01-18-14-27.log,15,36,1,6,16,0,0,15,0,0,0,4,2,0,0,0,0,0,13
2022-03-01-16-32-04.log,12,20,1,3,17,0,0,16,0,0,0,1,2,0,0,0,0,0,12
2022-03-01-16-35-14.log,12,30,1,3,16,0,0,15,0,0,0,1,2,0,0,0,0,0,12
2022-03-01-16-37-15.log,12,38,1,3,23,0,0,22,0,0,0,1,2,0,0,0,0,0,12
2022-03-01-16-50-03.log,10,36,1,1,15,0,0,14,0,0,0,1,0,0,0,0,0,0,12
2022-03-01-16-54-51.log,13,31,1,4,26,0,0,25,0,0,0,3,1,0,0,0,0,0,12
2022-03-01-17-51-44.log,13,31,1,4,13,0,0,12,0,0,0,2,2,0,0,0,0,0,12
2022-03-01-18-03-04.log,10,36,1,1,20,0,0,19,0,0,0,1,0,0,0,0,0,0,12
2022-03-01-18-19-47.log,13,29,1,4,20,0,0,19,0,0,0,2,2,0,0,0,0,0,12
2022-03-01-16-42-58.log,10,31,1,1,14,0,0,13,0,0,0,1,0,0,0,0,0,0,11
2022-03-01-17-43-51.log,12,41,1,3,13,0,0,12,0,0,0,1,2,0,0,0,0,0,11
2022-03-01-17-47-18.log,9,23,1,0,16,0,0,15,0,0,0,0,0,0,0,0,0,0,11
2022-03-01-16-59-00.log,11,21,1,2,19,0,0,18,0,0,0,0,2,0,0,0,0,0,10
2022-03-01-17-49-21.log,12,35,1,3,11,0,0,10,0,0,0,3,0,0,0,0,0,0,10
2022-03-01-17-54-28.log,11,29,1,2,15,1,0,13,0,0,0,1,1,0,0,0,0,0,10
2022-03-01-18-09-01.log,12,35,1,3,18,0,0,17,0,0,0,1,2,0,0,0,0,0,10
2022-03-01-18-20-45.log,10,23,1,1,17,0,0,16,0,0,0,1,0,0,0,0,0,0,10
2022-03-01-17-46-52.log,14,22,1,5,11,0,0,10,0,0,0,2,3,0,0,0,0,0,9
2022-03-01-18-14-18.log,9,23,1,0,18,0,0,17,0,0,0,0,0,0,0,0,0,0,9
2022-03-01-17-58-57.log,10,31,1,1,14,0,0,13,0,0,0,1,0,0,0,0,0,0,7
